neighborhood;no_salary;one_salary;between_one_and_three;between_three_and_five;between_five_ten;more_than_ten
Água Verde;3.85;1.79;20.45;25.43;34.00;14.48
Badenfurt;0.73;2.84;29.13;31.49;29.42;6.40
Boa Vista;1.02;2.72;19.18;30.56;34.80;11.72
Bom Retiro;0.74;2.22;18.19;17.94;29.98;30.96
Centro;1.36;4.13;26.39;25.52;24.97;17.64
Da Glória;1.91;3.82;28.96;32.40;28.01;4.91
Do Salto;0.83;3.39;25.47;28.79;27.13;14.39
Escola Agrícola;1.61;3.07;22.96;25.86;30.03;16.47
Fidélis;0.44;3.13;30.30;35.82;25.99;4.32
Fortaleza;3.58;2.54;23.67;28.80;31.89;9.52
Fortaleza Alta;0.64;1.86;24.54;33.40;31.76;7.79
Garcia;1.74;2.96;24.16;25.62;30.40;15.12
Itoupava Central;1.08;2.61;25.73;34.02;30.50;6.06
Itoupava Norte;1.18;2.50;24.69;27.31;31.19;13.14
Itoupava Seca;2.48;1.24;15.90;20.54;33.48;26.36
Itoupavazinha;0.67;2.50;27.03;36.56;28.69;4.57
Jardim Blumenau;1.20;0.40;4.29;7.37;20.62;66.15
Nova Esperança;0.56;4.43;32.74;31.45;25.48;5.32
Passo Manso;3.96;2.27;21.89;33.64;32.33;5.88
Ponta Agua;1.67;2.72;24.06;25.18;26.07;20.29
Pogresso;0.68;3.21;26.32;34.54;29.80;5.44
Ribeirão Fresco;2.53;3.50;24.57;24.76;28.46;16.17
Salto do Norte;1.37;2.16;25.04;29.97;32.57;8.90
Salto Weissbach;1.03;1.61;16.71;29.56;38.37;12.72
Testo Salto;0.61;1.97;24.78;36.11;30.73;5.81
Tribess;1.45;2.08;22.71;32.74;32.48;8.54
Valparaíso;0.45;2.93;25.14;31.34;33.20;6.93
Velha;1.61;1.94;18.87;23.91;31.79;21.88
Velha Central;2.14;2.20;22.49;30.12;32.88;10.18
Velha Grande;2.62;3.85;37.68;34.32;19.25;2.29
Victor Konder;6.18;1.31;13.11;16.73;27.44;35.22
Vila Formosa;1.24;2.48;13.63;19.42;31.40;31.82
Vila Itoupava;0.46;2.30;24.66;31.11;33.18;8.29
Vila Nova;2.52;2.08;14.26;18.59;31.00;31.54
Vorstadt;3.37;2.78;17.51;21.48;31.18;23.66